temporada,producto,id_producto,id_ciudad,ciudad,unidades_vendidas,evento,fecha
invierno,agua,2,1,zapopan,95,0,01/01/2024
invierno,agua,2,2,guadalajara,101,0,01/01/2024
invierno,agua,2,3,tonala,78,0,01/01/2024
invierno,agua,2,4,tlaquepaque,80,0,01/01/2024
invierno,agua,2,5,el_salto,84,0,01/01/2024
invierno,agua,2,6,tlajomulco,82,0,01/01/2024
invierno,bebida_energizante,4,1,zapopan,30,0,01/01/2024
invierno,bebida_energizante,4,2,guadalajara,38,0,01/01/2024
invierno,bebida_energizante,4,3,tonala,32,0,01/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,42,0,01/01/2024
invierno,bebida_energizante,4,5,el_salto,43,0,01/01/2024
invierno,bebida_energizante,4,6,tlajomulco,33,0,01/01/2024
invierno,jugo,3,1,zapopan,49,0,01/01/2024
invierno,jugo,3,2,guadalajara,55,0,01/01/2024
invierno,jugo,3,3,tonala,42,0,01/01/2024
invierno,jugo,3,4,tlaquepaque,40,0,01/01/2024
invierno,jugo,3,5,el_salto,48,0,01/01/2024
invierno,jugo,3,6,tlajomulco,49,0,01/01/2024
invierno,refresco,1,1,zapopan,115,0,01/01/2024
invierno,refresco,1,2,guadalajara,110,0,01/01/2024
invierno,refresco,1,3,tonala,111,0,01/01/2024
invierno,refresco,1,4,tlaquepaque,98,0,01/01/2024
invierno,refresco,1,5,el_salto,99,0,01/01/2024
invierno,refresco,1,6,tlajomulco,104,0,01/01/2024
invierno,agua,2,1,zapopan,78,0,02/01/2024
invierno,agua,2,2,guadalajara,73,0,02/01/2024
invierno,agua,2,3,tonala,98,0,02/01/2024
invierno,agua,2,4,tlaquepaque,96,0,02/01/2024
invierno,agua,2,5,el_salto,75,0,02/01/2024
invierno,agua,2,6,tlajomulco,100,0,02/01/2024
invierno,bebida_energizante,4,1,zapopan,19,0,02/01/2024
invierno,bebida_energizante,4,2,guadalajara,31,0,02/01/2024
invierno,bebida_energizante,4,3,tonala,50,0,02/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,42,0,02/01/2024
invierno,bebida_energizante,4,5,el_salto,16,0,02/01/2024
invierno,bebida_energizante,4,6,tlajomulco,39,0,02/01/2024
invierno,jugo,3,1,zapopan,48,0,02/01/2024
invierno,jugo,3,2,guadalajara,46,0,02/01/2024
invierno,jugo,3,3,tonala,47,0,02/01/2024
invierno,jugo,3,4,tlaquepaque,42,0,02/01/2024
invierno,jugo,3,5,el_salto,34,0,02/01/2024
invierno,jugo,3,6,tlajomulco,46,0,02/01/2024
invierno,refresco,1,1,zapopan,98,0,02/01/2024
invierno,refresco,1,2,guadalajara,104,0,02/01/2024
invierno,refresco,1,3,tonala,99,0,02/01/2024
invierno,refresco,1,4,tlaquepaque,113,0,02/01/2024
invierno,refresco,1,5,el_salto,104,0,02/01/2024
invierno,refresco,1,6,tlajomulco,89,0,02/01/2024
invierno,agua,2,1,zapopan,88,0,03/01/2024
invierno,agua,2,2,guadalajara,103,0,03/01/2024
invierno,agua,2,3,tonala,89,0,03/01/2024
invierno,agua,2,4,tlaquepaque,78,0,03/01/2024
invierno,agua,2,5,el_salto,82,0,03/01/2024
invierno,agua,2,6,tlajomulco,90,0,03/01/2024
invierno,bebida_energizante,4,1,zapopan,23,0,03/01/2024
invierno,bebida_energizante,4,2,guadalajara,31,0,03/01/2024
invierno,bebida_energizante,4,3,tonala,18,0,03/01/2024
invierno,bebida_energizante,4,4,tlaquepaque,27,0,03/01/2024
invierno,bebida_energizante,4,5,el_salto,39,0,03/01/2024
invierno,bebida_energizante,4,6,tlajomulco,14,0,03/01/2024
invierno,jugo,3,1,zapopan,56,0,03/01/2024
invierno,jugo,3,2,guadalajara,46,0,03/01/2024
invierno,jugo,3,3,tonala,61,0,03/01/2024
invierno,jugo,3,4,tlaquepaque,59,0,03/01/2024
invierno,jugo,3,5,el_salto,72,0,03/01/2024
invierno,jugo,3,6,tlajomulco,51,0,03/01/2024
invierno,refresco,1,1,zapopan,112,0,03/01/2024
invierno,refresco,1,2,guadalajara,96,0,03/01/2024
invierno,refresco,1,3,tonala,114,0,03/01/2024
invierno,refresco,1,4,tlaquepaque,95,0,03/01/2024
